,Mar 2010,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13,13,14,15,15,15,16,16
Reserves,62,71,101,107,95,88,98,106,103,112,124,129
Borrowings +,43,16,9,0,0,1,1,9,13,15,20,19
Other Liabilities +,21,53,54,7,8,11,15,13,12,61,50,45
Total Liabilities,139,153,177,127,117,113,128,144,143,203,210,209
Fixed Assets +,44,42,9,9,42,33,33,32,32,30,65,66
CWIP,22,43,0,0,0,1,3,20,30,65,3,4
Investments,1,0,138,72,49,53,56,53,52,60,71,62
Other Assets +,72,68,30,46,25,26,35,38,30,47,71,77
Total Assets,139,153,177,127,117,113,128,144,143,203,210,209
