,Mar 2010,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,143,146,108,19,21,27,51,82,53,68,114,135
Expenses +,119,124,95,21,25,28,45,75,53,63,104,122
Operating Profit,23,22,13,-2,-4,-1,6,7,0,5,10,13
OPM %,16%,15%,12%,-9%,-19%,-2%,11%,9%,1%,8%,9%,10%
Other Income +,0,0,92,3,2,1,3,4,4,3,3,3
Interest,5,4,3,0,0,0,0,1,1,1,1,3
Depreciation,6,6,5,2,10,10,2,2,2,2,2,3
Profit before tax,13,13,97,-1,-12,-9,6,9,2,5,10,10
Tax %,22%,20%,22%,70%,4%,5%,16%,55%,48%,27%,35%,
Net Profit,10,10,76,-0,-11,-9,5,4,1,4,6,7
EPS in Rs,7.75,7.93,57.67,-0.22,-8.46,-6.72,3.75,2.49,0.54,2.43,4.58,5.33
