,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,70,72,50,74,74,78,80,80
Reserves,193,255,-209,466,523,786,"1,307","1,486"
Borrowings +,256,280,753,336,369,316,257,477
Other Liabilities +,146,167,359,237,228,253,260,651
Total Liabilities,665,774,954,"1,114","1,194","1,433","1,904","2,694"
Fixed Assets +,515,518,755,863,916,931,"1,005","1,780"
CWIP,2,64,0,0,2,9,21,126
Investments,11,14,0,0,0,0,332,60
Other Assets +,137,177,199,250,276,493,546,728
Total Assets,665,774,954,"1,114","1,194","1,433","1,904","2,694"
