,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,682",556,554,691,931,"1,030","1,125","1,117","1,394","1,305",957,"1,497","1,365"
Expenses +,"3,662",475,531,619,831,917,966,936,"1,163","1,119",874,"1,376","1,307"
Operating Profit,20,81,23,73,100,113,159,181,231,186,83,121,58
OPM %,1%,15%,4%,11%,11%,11%,14%,16%,17%,14%,9%,8%,4%
Other Income +,97,-19,-110,-28,2,17,159,233,9,265,233,338,1
Interest,113,54,78,80,86,74,9,3,5,5,4,5,5
Depreciation,105,32,35,37,28,27,29,34,38,44,46,50,49
Profit before tax,-102,-24,-199,-72,-13,30,279,376,198,402,265,404,5
Tax %,13%,-33%,-0%,-1%,-22%,13%,5%,5%,17%,7%,5%,4%,
Net Profit,-88,-32,-200,10,182,196,266,358,164,376,252,389,311
EPS in Rs,-46.40,-16.84,-105.02,5.22,79.88,73.71,95.40,118.38,52.36,111.69,75.10,75.00,66.09
