,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,464","2,674","3,055","3,626","3,379","3,296","4,022","4,619"
Expenses +,"2,187","2,390","2,790","3,251","3,085","2,909","3,610","4,034"
Operating Profit,277,283,265,376,295,387,412,585
OPM %,11%,11%,9%,10%,9%,12%,10%,13%
Other Income +,49,83,72,63,52,17,27,25
Interest,9,3,12,13,14,50,106,152
Depreciation,111,111,123,94,87,84,101,103
Profit before tax,205,253,203,331,245,270,232,354
Tax %,19%,31%,33%,34%,23%,27%,26%,
Net Profit,165,174,136,220,188,197,171,261
EPS in Rs,11.44,12.02,9.66,15.16,12.81,13.48,12.07,18.34
