,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,550,346,340,463,390,531,503,548,473
Expenses +,520,316,290,446,352,482,447,475,430
Operating Profit,30,30,50,17,38,50,56,73,42
OPM %,6%,9%,15%,4%,10%,9%,11%,13%,9%
Other Income +,7,6,9,37,14,11,4,10,12
Interest,14,17,8,11,8,18,11,12,13
Depreciation,14,9,12,13,12,15,15,15,15
Profit before tax,9,10,38,29,32,28,34,56,27
Tax %,17%,-17%,26%,35%,24%,34%,23%,26%,
Net Profit,7,12,28,19,24,19,26,41,19
EPS in Rs,0.81,1.27,3.07,2.05,2.63,2.01,2.85,4.51,2.09
