,Mar 2006,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,192,331,359,386,438,470,544,614,630,630,689
Expenses +,189,302,333,373,444,468,527,590,606,590,637
Operating Profit,2,29,26,13,-5,3,17,25,24,39,51
OPM %,1%,9%,7%,3%,-1%,1%,3%,4%,4%,6%,7%
Other Income +,8,-2,-0,1,0,6,8,5,3,2,1
Interest,7,6,7,7,7,9,10,11,12,10,12
Depreciation,5,5,7,7,8,9,11,12,12,17,18
Profit before tax,-2,16,12,0,-20,-9,4,7,2,15,23
Tax %,11%,27%,27%,167%,26%,15%,-15%,28%,33%,34%,33%
Net Profit,-2,12,9,-0,-15,-8,5,5,2,10,15
EPS in Rs,-0.23,1.30,0.95,-0.01,-1.48,-0.78,0.50,0.52,0.15,0.98,1.52
