,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,97,96,95,94,93,92,91,90,87,84,83,83
Reserves,-2,10,15,26,37,46,53,50,46,47,61,57
Borrowings +,181,188,186,175,169,140,180,137,162,174,146,120
Other Liabilities +,91,125,98,87,77,104,81,117,80,77,103,110
Total Liabilities,353,406,382,370,365,373,397,388,370,380,393,370
Fixed Assets +,46,195,202,195,184,183,227,219,209,195,191,178
CWIP,148,7,6,12,15,25,1,6,0,0,0,0
Investments,27,58,25,50,44,18,20,28,30,30,31,33
Other Assets +,133,145,149,112,122,147,149,135,131,156,170,159
Total Assets,353,406,382,370,365,373,397,388,370,380,393,370
