,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,585","3,940","5,044","5,748","6,634","6,866","6,334","6,367","5,719","4,113","3,117","3,397","1,812"
Expenses +,"1,552","3,835","4,888","5,610","6,478","6,680","6,160","6,264","5,576","4,171","3,200","3,386","1,827"
Operating Profit,34,105,156,138,156,186,175,103,143,-58,-83,11,-15
OPM %,2%,3%,3%,2%,2%,3%,3%,2%,2%,-1%,-3%,0%,-1%
Other Income +,58,15,17,10,9,-2,21,13,81,166,76,43,51
Interest,11,30,41,53,54,75,78,45,59,50,43,32,19
Depreciation,1,1,2,2,2,3,3,3,3,3,3,3,3
Profit before tax,79,89,129,93,109,106,115,68,162,55,-54,19,14
Tax %,16%,31%,33%,32%,32%,37%,34%,19%,24%,37%,-4%,24%,
Net Profit,66,61,87,63,74,67,76,55,124,35,-56,15,12
EPS in Rs,22.22,20.53,29.32,21.19,24.95,22.47,25.37,18.55,41.41,11.64,-18.87,4.92,4.12
