,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,53,56,53,53,53,38,37,37,36,34,34,34,34
Reserves,544,575,654,762,893,"1,063","1,249","1,533","1,754","1,831","2,316","3,152","3,357"
Borrowings +,713,799,"1,008",962,824,883,779,648,856,788,657,"1,185","1,061"
Other Liabilities +,220,307,391,403,477,398,326,334,327,229,244,486,372
Total Liabilities,"1,514","1,719","2,090","2,164","2,232","2,382","2,391","2,552","2,974","2,882","3,251","4,858","4,824"
Fixed Assets +,814,"1,091","1,339","1,256","1,206","1,154","1,307","1,224","1,137","1,321","1,256","1,940","2,196"
CWIP,111,75,0,6,2,35,2,0,12,6,29,115,97
Investments,0,0,66,63,61,2,12,14,2,9,235,311,334
Other Assets +,589,553,684,840,962,"1,192","1,070","1,314","1,822","1,546","1,732","2,492","2,197"
Total Assets,"1,514","1,719","2,090","2,164","2,232","2,382","2,391","2,552","2,974","2,882","3,251","4,858","4,824"
