,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,107","1,269","1,665","2,371","2,566","2,601","2,817","3,025","3,384","3,353","3,527","4,822","5,514"
Expenses +,856,"1,089","1,277","1,948","2,128","2,131","2,253","2,450","2,772","2,731","2,698","3,604","4,186"
Operating Profit,251,180,388,423,438,470,563,574,612,622,830,"1,219","1,328"
OPM %,23%,14%,23%,18%,17%,18%,20%,19%,18%,19%,24%,25%,24%
Other Income +,0,7,6,31,24,24,27,15,37,36,39,87,76
Interest,32,48,98,104,84,58,64,52,49,50,33,23,49
Depreciation,126,104,151,157,154,152,149,140,131,137,147,141,176
Profit before tax,93,35,144,192,223,284,377,398,469,472,689,"1,142","1,179"
Tax %,23%,6%,28%,26%,22%,26%,24%,27%,29%,20%,25%,26%,
Net Profit,72,33,103,142,174,211,287,290,335,377,515,842,862
EPS in Rs,1.92,0.87,2.73,3.76,4.61,5.59,7.76,7.86,9.23,10.95,14.97,24.47,25.13
