,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,24,24,24,24,24,24,24,24,24,24,24,24
Reserves,623,693,805,"1,020","1,301","1,475","1,884","2,264","2,703","3,104","3,669","4,047","4,330"
Borrowings +,902,938,870,"1,380","1,351","1,167","1,090","1,245","1,428",572,369,145,128
Other Liabilities +,326,353,310,291,390,315,425,324,481,724,566,533,685
Total Liabilities,"1,875","2,009","2,010","2,715","3,066","2,981","3,422","3,858","4,636","4,423","4,628","4,748","5,166"
Fixed Assets +,385,418,443,563,640,765,"1,013",982,941,979,947,924,910
CWIP,20,8,15,14,114,100,2,2,1,12,9,2,6
Investments,9,7,6,6,7,13,10,9,8,6,19,21,584
Other Assets +,"1,461","1,575","1,546","2,131","2,306","2,103","2,397","2,864","3,687","3,425","3,653","3,801","3,667"
Total Assets,"1,875","2,009","2,010","2,715","3,066","2,981","3,422","3,858","4,636","4,423","4,628","4,748","5,166"
