,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,538","1,602","2,051","2,882","3,143","3,360","3,145","3,246","4,120","4,499","3,992","4,211","4,688"
Expenses +,"1,313","1,372","1,758","2,441","2,617","2,913","2,502","2,472","3,271","3,629","3,170","3,549","3,902"
Operating Profit,225,230,293,441,526,447,644,774,850,870,822,662,787
OPM %,15%,14%,14%,15%,17%,13%,20%,24%,21%,19%,21%,16%,17%
Other Income +,20,-19,19,20,2,61,10,18,15,23,23,43,54
Interest,51,72,78,76,81,67,55,69,68,62,24,13,12
Depreciation,36,45,51,58,53,50,61,68,64,73,72,74,75
Profit before tax,158,95,184,326,394,391,538,655,733,758,749,617,754
Tax %,24%,23%,30%,22%,18%,25%,26%,34%,31%,26%,25%,26%,
Net Profit,120,73,130,255,322,293,399,434,503,558,559,459,560
EPS in Rs,4.95,3.00,5.37,10.84,13.67,12.45,16.97,18.46,21.37,23.71,23.74,19.52,23.79
