,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,14,15,15,19,19,19,19,19,19
Reserves,40,63,114,139,162,278,541,112,104,82,-331,-340
Borrowings +,18,113,133,174,196,237,309,231,18,20,22,25
Other Liabilities +,19,139,277,215,166,325,253,322,63,41,340,339
Total Liabilities,88,327,537,542,539,854,"1,121",684,205,162,50,43
Fixed Assets +,16,126,214,216,207,381,351,161,27,26,21,20
CWIP,2,2,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Investments,-0,2,0,5,5,4,106,105,92,77,12,4
Other Assets +,70,197,322,321,327,469,664,417,86,58,17,19
Total Assets,88,327,537,542,539,854,"1,121",684,205,162,50,43
