,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,5,5,5,5,5,5,5,5,5,5
Reserves,32,37,40,43,45,55,62,71,76,94,129,149,103
Borrowings +,29,43,43,38,49,60,72,63,76,77,81,99,111
Other Liabilities +,106,100,121,134,91,103,105,118,154,177,150,156,191
Total Liabilities,172,184,209,220,190,223,243,258,311,353,365,409,410
Fixed Assets +,41,48,51,52,56,60,79,83,99,106,100,106,102
CWIP,1,1,0,1,3,4,0,0,1,1,8,14,34
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,130,135,158,167,130,159,165,174,212,246,256,290,274
Total Assets,172,184,209,220,190,223,243,258,311,353,365,409,410
