,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,42,44,44,44,22,22,22,29,26,27,22
Reserves,326,452,519,516,567,679,763,868,941,"1,131","1,346"
Borrowings +,96,82,226,249,327,245,176,18,0,168,340
Other Liabilities +,267,386,393,307,340,416,320,424,401,329,551
Total Liabilities,732,964,"1,182","1,115","1,256","1,362","1,280","1,332","1,364","1,650","2,258"
Fixed Assets +,191,180,261,256,545,436,437,423,418,382,358
CWIP,10,47,26,15,3,7,7,7,5,11,154
Investments,247,311,279,382,181,226,272,359,177,144,147
Other Assets +,284,426,616,463,527,692,563,543,763,"1,113","1,597"
Total Assets,732,964,"1,182","1,115","1,256","1,362","1,280","1,332","1,364","1,650","2,258"
