,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2011,Dec 2012,Mar 2014,Mar 2015,Mar 2016
Share Capital +,22,33,36,41,43,306,306,306,306
Reserves,144,611,880,"1,331","1,073",-210,"-1,697","-1,912","-2,062"
Borrowings +,100,285,932,"1,477","2,435","2,733","2,840","2,664","2,660"
Other Liabilities +,190,437,581,907,744,732,694,699,694
Total Liabilities,457,"1,366","2,428","3,756","4,294","3,301","1,883","1,497","1,337"
Fixed Assets +,118,274,678,"1,188","1,215","1,157","1,111",762,672
CWIP,17,184,353,79,37,26,26,26,26
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,322,908,"1,397","2,489","3,043","2,118",746,708,640
Total Assets,457,"1,366","2,428","3,756","4,294","3,301","1,883","1,497","1,337"
