,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Share Capital +,20,20,20,20,22,22,24,24,24,24,24,24
Reserves,71,161,264,408,624,819,"1,086","1,232","-1,960","-2,115","-3,510","-3,525"
Borrowings +,424,668,962,"1,096","1,249","1,520","1,662","1,822","1,953","1,979","2,638","2,648"
Other Liabilities +,44,46,127,229,171,189,257,402,438,428,982,999
Total Liabilities,559,895,"1,373","1,754","2,066","2,549","3,028","3,481",455,317,134,146
Fixed Assets +,42,64,73,106,67,66,439,467,313,276,111,105
CWIP,0,0,9,22,118,194,7,56,7,7,3,3
Investments,0,0,0,0,0,6,0,0,0,0,0,0
Other Assets +,517,831,"1,292","1,626","1,880","2,283","2,583","2,958",135,34,20,38
Total Assets,559,895,"1,373","1,754","2,066","2,549","3,028","3,481",455,317,134,146
