,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,"1,604","2,416","3,929","5,011","5,877","6,348","6,872","7,319","1,369",151,120,92
Expenses +,"1,503","2,249","3,706","4,716","5,525","5,959","6,417","6,793","4,194",244,313,278
Operating Profit,101,167,224,294,352,389,455,526,"-2,825",-93,-193,-186
OPM %,6%,7%,6%,6%,6%,6%,7%,7%,-206%,-62%,-160%,-201%
Other Income +,0,0,-2,4,12,30,14,12,-62,-1,0,0
Interest,37,65,94,117,143,161,183,247,199,16,"1,002","1,002"
Depreciation,4,8,10,13,25,23,22,126,130,35,26,17
Profit before tax,61,94,118,169,196,234,264,165,"-3,217",-144,"-1,220","-1,204"
Tax %,24%,2%,10%,14%,15%,30%,26%,44%,0%,0%,-15%,
Net Profit,46,92,106,145,167,164,194,92,"-3,216",-144,"-1,400","-1,384"
EPS in Rs,2.26,4.55,5.20,7.13,7.61,7.32,8.18,3.83,-133.25,-5.98,-58.02,-57.36
