,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,290,368,412,484,550,669,252,402,652
Expenses +,239,268,295,348,381,429,194,283,394
Operating Profit,51,100,117,136,169,241,57,119,258
OPM %,18%,27%,28%,28%,31%,36%,23%,30%,40%
Other Income +,13,5,12,13,15,11,22,22,12
Interest,72,72,78,78,85,162,190,181,166
Depreciation,52,52,51,53,54,92,108,104,101
Profit before tax,-60,-19,-0,18,45,-2,-219,-145,3
Tax %,-5%,-35%,"-1,452%",21%,-25%,-499%,15%,5%,
Net Profit,-63,-26,-5,15,56,-13,-187,-137,-11
EPS in Rs,-0.81,-0.35,-0.08,0.18,0.67,-0.12,-1.60,-1.10,0.05
