,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,704,898,939,"1,085","1,151","1,175","1,258","1,418","1,688","1,543","1,609","2,102","2,232"
Expenses +,616,794,850,959,"1,009","1,037","1,095","1,222","1,479","1,355","1,355","1,713","1,824"
Operating Profit,87,104,89,126,142,138,162,196,209,187,254,389,408
OPM %,12%,12%,10%,12%,12%,12%,13%,14%,12%,12%,16%,19%,18%
Other Income +,2,2,4,5,9,4,10,5,15,22,21,35,30
Interest,15,18,23,18,18,18,16,12,13,16,11,9,8
Depreciation,26,29,30,33,39,46,53,58,68,79,83,83,81
Profit before tax,48,59,40,80,94,78,103,131,143,115,180,332,349
Tax %,4%,25%,19%,19%,22%,17%,28%,33%,32%,22%,26%,26%,
Net Profit,46,44,33,66,74,66,75,89,100,91,133,246,260
EPS in Rs,14.74,14.09,10.42,20.01,22.68,20.22,22.61,27.41,31.72,29.19,42.51,78.20,82.82
