,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7.50,11.25,12.25,12.25,17.64,17.64
Reserves,15.32,17.27,26.48,25.16,28.76,34.93
Borrowings +,12.13,16.07,16.11,17.91,9.68,18.34
Other Liabilities +,12.73,7.62,10.04,10.25,16.11,12.12
Total Liabilities,47.68,52.21,64.88,65.57,72.19,83.03
Fixed Assets +,2.11,2.21,4.35,3.47,1.49,1.28
CWIP,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.66,0.72,0.16,0.35,0.35,0.35
Other Assets +,44.91,49.28,60.37,61.75,70.35,81.40
Total Assets,47.68,52.21,64.88,65.57,72.19,83.03
