,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16,16,16,20,20,20,20,20,20,20
Reserves,60,64,73,82,95,117,172,204,249,293,346,413,449
Borrowings +,44,65,76,68,76,78,64,61,34,5,1,2,12
Other Liabilities +,44,66,72,93,70,64,48,62,63,71,85,99,123
Total Liabilities,165,212,237,260,258,275,305,347,366,389,452,534,603
Fixed Assets +,28,38,65,65,66,98,103,117,121,123,111,132,131
CWIP,4,14,2,2,3,3,7,0,2,0,2,16,23
Investments,-0,0,0,0,0,0,10,11,18,34,81,97,101
Other Assets +,133,161,169,192,190,174,186,219,225,232,259,290,349
Total Assets,165,212,237,260,258,275,305,347,366,389,452,534,603
