,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM
Sales +,"1,825","2,033","2,192","1,762","1,471","2,112","2,452"
Expenses +,"1,539","1,705","1,866","1,347","1,096","1,564","1,894"
Operating Profit,287,328,326,415,375,548,559
OPM %,16%,16%,15%,24%,25%,26%,23%
Other Income +,40,8,15,862,36,335,69
Interest,116,116,103,86,6,3,4
Depreciation,195,206,199,177,176,181,181
Profit before tax,16,13,39,"1,013",229,698,441
Tax %,-20%,-21%,35%,28%,34%,27%,
Net Profit,19,16,26,727,151,507,397
EPS in Rs,2.23,1.90,3.01,85.27,17.72,59.47,46.50
