,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7,7,7,7,7,7,7,7
Reserves,667,172,-90,-301,-322,-296,-829,"-1,775","-2,130","-2,438","-1,892","-2,095","-2,165"
Borrowings +,"3,310","4,612","5,439","5,954","6,453","6,729","6,748","6,994","7,070","4,446","4,241","3,669","3,311"
Other Liabilities +,"1,487","1,429","1,606","1,687","2,067","2,013","2,303","2,665","2,758","2,951","2,978","3,922","4,808"
Total Liabilities,"5,470","6,221","6,963","7,347","8,205","8,454","8,229","7,892","7,705","4,966","5,335","5,503","5,961"
Fixed Assets +,"1,349","1,341","3,501","4,134","5,575","5,289","4,791","4,552","4,336","1,236",749,"1,077",997
CWIP,"2,519","3,694","2,189","1,975","1,623",151,150,150,151,151,613,150,150
Investments,6,7,16,6,13,2,1,1,3,971,754,754,754
Other Assets +,"1,597","1,179","1,257","1,233",994,"3,013","3,287","3,189","3,215","2,608","3,218","3,522","4,060"
Total Assets,"5,470","6,221","6,963","7,347","8,205","8,454","8,229","7,892","7,705","4,966","5,335","5,503","5,961"
