,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM
Sales +,"1,925","2,440","2,216","2,591","5,570","4,001","5,320","6,428","8,032","7,908","6,050","8,387","10,065"
Expenses +,"1,748","2,226","2,173","2,482","5,128","3,638","4,789","5,622","7,031","6,940","5,549","7,369","8,962"
Operating Profit,177,214,43,109,442,363,531,806,"1,001",968,501,"1,017","1,103"
OPM %,9%,9%,2%,4%,8%,9%,10%,13%,12%,12%,8%,12%,11%
Other Income +,1,2,3,4,-183,-49,22,20,39,28,55,44,85
Interest,53,49,49,63,121,50,59,51,50,52,55,53,42
Depreciation,120,113,110,120,238,163,232,268,287,316,306,343,346
Profit before tax,5,55,-114,-70,-100,101,262,507,702,628,195,665,800
Tax %,19%,6%,0%,-17%,22%,24%,35%,29%,29%,44%,45%,41%,
Net Profit,4,51,-114,-81,-78,77,169,358,498,354,106,393,602
EPS in Rs,0.43,5.55,-12.36,-8.82,-2.42,2.37,4.47,9.47,13.15,9.33,2.81,10.37,15.88
