,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,58,59,60,60,68,71,71,72,72,72,72
Reserves,28,65,205,242,280,348,427,473,496,518,486
Borrowings +,0,0,4,28,34,26,38,201,269,399,538
Other Liabilities +,175,211,250,262,435,540,669,676,849,941,"1,149"
Total Liabilities,261,335,519,591,817,986,"1,205","1,422","1,687","1,931","2,245"
Fixed Assets +,10,16,26,50,62,66,71,231,361,485,559
CWIP,0,0,0,3,1,1,3,15,3,14,1
Investments,0,0,110,68,58,50,81,3,55,116,94
Other Assets +,251,319,383,471,697,870,"1,050","1,173","1,268","1,316","1,591"
Total Assets,261,335,519,591,817,986,"1,205","1,422","1,687","1,931","2,245"
