,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,15,15,29,29,29,29,29,29,29,29
Reserves,171,213,254,262,308,364,556,839,"1,083","1,263","1,492","2,294","2,604"
Borrowings +,86,206,211,258,214,139,81,45,7,10,49,5,6
Other Liabilities +,162,258,255,254,246,266,236,303,399,213,328,422,521
Total Liabilities,434,691,735,788,783,799,902,"1,215","1,519","1,516","1,898","2,751","3,159"
Fixed Assets +,121,225,297,293,280,267,242,238,229,217,203,276,270
CWIP,66,65,1,5,1,0,0,0,0,1,0,0,2
Investments,12,15,38,38,36,36,70,343,628,6,795,824,839
Other Assets +,235,386,399,452,466,496,590,635,662,"1,292",900,"1,651","2,047"
Total Assets,434,691,735,788,783,799,902,"1,215","1,519","1,516","1,898","2,751","3,159"
