,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13,13,13,13,13,13,13,13,13
Reserves,979,"1,083","1,262","1,076","1,079","1,193",804,976,"1,040",946,943,"1,049","1,115"
Borrowings +,452,398,490,143,220,141,206,52,45,14,52,114,88
Other Liabilities +,517,530,397,220,99,94,243,152,171,155,164,198,192
Total Liabilities,"1,961","2,024","2,163","1,453","1,412","1,441","1,266","1,194","1,269","1,128","1,172","1,374","1,408"
Fixed Assets +,613,656,641,397,363,346,249,310,265,209,173,141,143
CWIP,213,242,252,67,111,161,19,10,4,4,3,4,2
Investments,0,0,2,0,3,5,24,346,415,238,583,630,566
Other Assets +,"1,135","1,126","1,267",988,934,929,973,528,585,677,413,598,697
Total Assets,"1,961","2,024","2,163","1,453","1,412","1,441","1,266","1,194","1,269","1,128","1,172","1,374","1,408"
