,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,604","1,751","1,514","1,005","1,364","1,392","1,060","1,608","2,222","1,759","2,080","2,139","2,220"
Expenses +,"1,529","1,573","1,322",950,"1,250","1,272","1,012","1,483","2,044","1,591","1,875","1,958","2,083"
Operating Profit,75,177,192,55,114,120,48,125,178,168,205,181,137
OPM %,5%,10%,13%,5%,8%,9%,5%,8%,8%,10%,10%,8%,6%
Other Income +,87,11,-4,31,35,67,72,53,21,14,31,37,34
Interest,34,27,44,42,46,56,36,43,64,64,53,37,39
Depreciation,41,41,40,32,43,37,40,39,46,52,46,45,46
Profit before tax,86,120,104,12,60,93,44,95,88,65,137,135,87
Tax %,6%,41%,40%,27%,17%,7%,24%,33%,33%,15%,26%,25%,
Net Profit,81,71,62,9,50,86,34,64,59,56,101,102,63
EPS in Rs,15.16,12.85,10.41,1.58,8.82,15.14,5.88,11.15,10.30,9.72,17.66,17.16,10.76
