,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28,28,23,23,23,23,23,23
Reserves,567,648,527,584,570,586,626,667
Borrowings +,0,11,208,429,567,739,"1,087","1,055"
Other Liabilities +,8,8,128,461,456,351,402,386
Total Liabilities,604,696,885,"1,497","1,617","1,699","2,139","2,132"
Fixed Assets +,0,0,105,221,294,287,286,284
CWIP,0,0,0,0,0,0,0,0
Investments,0,0,14,22,26,13,271,277
Other Assets +,603,695,767,"1,255","1,297","1,399","1,582","1,570"
Total Assets,604,696,885,"1,497","1,617","1,699","2,139","2,132"
