,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,144,144,151,151,151,151,151,151,151,151,151,151,151
Reserves,"14,164","15,530","18,877","21,345","24,167","30,465","36,924","42,408","46,941","49,262","52,350","55,182","57,030"
Borrowings +,454,"1,421","1,569","2,004",666,231,484,121,160,184,541,426,625
Other Liabilities +,"4,344","6,004","6,920","7,975","9,492","11,879","14,402","17,568","16,717","14,031","18,335","18,896","21,214"
Total Liabilities,"19,106","23,099","27,517","31,476","34,477","42,726","51,960","60,248","63,969","63,628","71,376","74,656","79,020"
Fixed Assets +,"5,672","7,746","10,022","11,034","12,490","12,530","13,311","13,389","15,437","15,744","14,989","13,747","17,361"
CWIP,879,943,"1,966","2,640","1,890","1,007","1,252","2,132","1,607","1,415","1,497","2,936","2,246"
Investments,"5,439","6,545","7,421","10,527","13,298","20,676","29,151","36,123","37,504","37,488","42,945","42,035","42,907"
Other Assets +,"7,116","7,866","8,107","7,275","6,800","8,513","8,247","8,604","9,421","8,980","11,946","15,937","16,506"
Total Assets,"19,106","23,099","27,517","31,476","34,477","42,726","51,960","60,248","63,969","63,628","71,376","74,656","79,020"
