,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"37,156","36,090","44,304","44,542","50,801","57,589","68,085","79,809","86,068","75,660","70,372","88,330","106,457"
Expenses +,"33,526","33,807","39,944","39,232","43,909","48,565","57,664","67,692","75,012","68,305","64,961","82,578","97,780"
Operating Profit,"3,629","2,283","4,361","5,310","6,892","9,024","10,421","12,118","11,056","7,355","5,411","5,752","8,677"
OPM %,10%,6%,10%,12%,14%,16%,15%,15%,13%,10%,8%,7%,8%
Other Income +,566,"1,086",797,724,817,"1,464","2,399","2,155","2,664","3,410","3,046","1,861","1,643"
Interest,29,62,198,184,218,82,89,346,76,134,102,127,140
Depreciation,"1,031","1,162","1,890","2,116","2,515","2,822","2,604","2,760","3,021","3,528","3,034","2,789","2,664"
Profit before tax,"3,135","2,145","3,070","3,734","4,976","7,585","10,127","11,167","10,624","7,103","5,321","4,697","7,517"
Tax %,26%,24%,20%,24%,24%,28%,26%,29%,28%,20%,18%,17%,
Net Profit,"2,382","1,681","2,470","2,854","3,809","5,497","7,511","7,881","7,651","5,678","4,389","3,880","6,066"
EPS in Rs,82.46,58.19,81.74,94.44,126.04,181.98,248.61,260.86,253.21,187.90,145.30,128.43,200.82
