,Jun 2011,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,14,12,11,11,12,12,12,12,12,13,15,15
Reserves,477,522,521,549,585,308,457,537,704,778,846,"1,056","1,196"
Borrowings +,18,7,2,2,29,0,66,70,70,335,273,203,411
Other Liabilities +,136,215,207,192,207,108,170,202,179,763,"1,146","1,193","1,501"
Total Liabilities,645,757,742,754,832,428,705,821,966,"1,888","2,277","2,467","3,123"
Fixed Assets +,240,256,247,261,279,66,180,179,167,857,807,841,"1,745"
CWIP,0,0,3,0,1,0,0,2,1,2,2,4,4
Investments,65,43,40,84,54,50,274,284,396,276,234,66,43
Other Assets +,340,458,452,409,498,312,251,356,401,754,"1,235","1,556","1,331"
Total Assets,645,757,742,754,832,428,705,821,966,"1,888","2,277","2,467","3,123"
