,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,6,6,6,9,9,11,11,11,11,11,11,11
Reserves,1,-9,1,-8,-10,-85,-40,156,191,217,252,299,218
Borrowings +,2,9,26,15,28,49,45,6,52,61,60,69,74
Other Liabilities +,41,61,60,72,78,153,104,99,107,116,130,142,141
Total Liabilities,44,66,90,83,103,124,119,273,362,405,453,521,444
Fixed Assets +,9,15,18,19,24,28,24,68,124,133,127,100,102
CWIP,0,0,0,4,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,74,137,126,91,110,29
Other Assets +,35,51,72,59,79,95,95,132,101,145,235,311,313
Total Assets,44,66,90,83,103,124,119,273,362,405,453,521,444
