,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,18,18,21,41,41,41,105,105,105,105,105
Reserves,263,330,380,451,636,700,633,654,387,652,715,732,697
Borrowings +,282,467,678,828,"1,104","1,433","1,934","1,379","1,437","1,253","1,248","1,210","1,177"
Other Liabilities +,189,187,248,381,458,460,299,770,"1,035",993,955,964,"1,014"
Total Liabilities,751,"1,001","1,323","1,677","2,219","2,635","2,907","2,844","2,963","3,003","3,023","3,011","2,993"
Fixed Assets +,166,167,189,214,217,247,224,180,964,910,837,770,780
CWIP,0,70,209,376,541,761,860,725,-0,14,17,34,-0
Investments,0,0,20,20,24,24,-0,0,0,0,0,0,-0
Other Assets +,585,764,906,"1,068","1,437","1,603","1,823","1,939","1,999","2,079","2,169","2,207","2,213"
Total Assets,751,"1,001","1,323","1,677","2,219","2,635","2,907","2,844","2,963","3,003","3,023","3,011","2,993"
