,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"7,280","9,139","10,378","10,508","9,254","8,495","8,818","8,591","9,341","9,325","8,131","9,712","10,813"
Expenses +,"6,137","8,021","9,287","13,876","9,619","8,162","7,826","7,381","7,947","7,756","7,080","8,104","9,054"
Operating Profit,"1,144","1,118","1,091","-3,368",-366,333,991,"1,209","1,394","1,569","1,051","1,608","1,759"
OPM %,16%,12%,11%,-32%,-4%,4%,11%,14%,15%,17%,13%,17%,16%
Other Income +,248,240,146,681,-360,648,-265,172,70,89,-25,-130,280
Interest,456,876,985,"1,323",687,457,375,278,237,212,188,88,99
Depreciation,102,147,178,203,223,157,189,192,215,285,299,304,302
Profit before tax,834,335,73,"-4,213","-1,635",366,163,912,"1,012","1,160",540,"1,087","1,638"
Tax %,32%,44%,244%,-7%,-3%,61%,43%,28%,32%,47%,33%,25%,
Net Profit,567,187,-105,"-4,489","-1,687",143,93,652,684,621,362,811,"1,283"
EPS in Rs,8.71,2.87,-1.55,-61.78,-23.23,1.90,1.38,8.72,9.64,9.07,5.28,11.40,17.89
