,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28
Reserves,2.09,-5.01,-5.49,-7.28,-4.60,-2.18,-0.73,-2.04,-4.55,-6.50,-6.91
Borrowings +,7.40,3.68,3.15,2.74,3.36,2.96,1.84,5.27,7.95,8.79,11.14
Other Liabilities +,14.14,13.51,12.66,10.30,6.12,4.83,17.89,13.64,3.28,5.57,10.67
Total Liabilities,37.91,26.46,24.60,20.04,19.16,19.89,33.28,31.15,20.96,22.14,29.18
Fixed Assets +,23.01,15.20,14.46,13.34,12.35,11.67,10.85,9.99,9.14,8.17,8.45
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,2.33
Investments,0.64,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.35,0.35
Other Assets +,14.26,11.13,10.01,6.57,6.81,8.22,22.43,21.16,11.82,12.71,18.05
Total Assets,37.91,26.46,24.60,20.04,19.16,19.89,33.28,31.15,20.96,22.14,29.18
