,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,100,100,100,111,163,163,163,183,183,183,183,183
Reserves,10,-38,-131,-188,-338,-275,-170,-103,82,-2,-79,-298,-406
Borrowings +,"3,275","3,150","3,089","3,220","3,336","3,053","2,958","3,032","2,768","2,431","2,303","2,097",442
Other Liabilities +,57,119,216,402,526,"2,494","1,946","1,847","2,174","2,286","2,346","1,723","3,321"
Total Liabilities,"3,354","3,331","3,274","3,534","3,636","5,435","4,896","4,939","5,207","4,899","4,753","3,706","3,541"
Fixed Assets +,"2,254","2,207","2,151","2,364","2,156","3,588","2,465","2,479","2,082","1,478","1,265","1,124",58
CWIP,0,0,0,6,16,7,28,27,26,0,0,0,0
Investments,94,3,3,1,32,22,166,240,280,332,317,85,16
Other Assets +,"1,005","1,121","1,120","1,164","1,431","1,818","2,237","2,193","2,819","3,090","3,171","2,496","3,467"
Total Assets,"3,354","3,331","3,274","3,534","3,636","5,435","4,896","4,939","5,207","4,899","4,753","3,706","3,541"
