,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,489,571,728,676,812,"1,602","2,267","2,317","2,239","2,372","1,730","2,013","2,299"
Expenses +,363,471,561,509,623,"1,329","1,932","1,948","2,055","1,996","1,489","1,691","1,914"
Operating Profit,126,101,167,167,189,273,335,369,184,375,241,323,385
OPM %,26%,18%,23%,25%,23%,17%,15%,16%,8%,16%,14%,16%,17%
Other Income +,45,72,5,14,-4,-4,27,34,55,58,116,163,132
Interest,3,6,2,8,11,25,32,86,40,85,91,105,97
Depreciation,22,23,27,39,66,98,106,100,101,247,264,271,277
Profit before tax,147,143,143,134,107,146,224,217,98,101,2,111,144
Tax %,32%,29%,36%,35%,25%,38%,35%,39%,39%,232%,667%,39%,
Net Profit,100,102,91,87,81,90,146,133,60,-134,-14,68,100
EPS in Rs,5.29,5.37,4.77,4.36,4.07,4.34,7.44,6.61,3.02,-6.59,-0.65,3.37,5.00
