,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,"1,229","1,529","1,541","1,449","1,526","1,942","1,674","1,309","1,303","1,060",760
Expenses +,"1,150","1,440","1,456","1,394","1,467","1,863","1,654","1,305","1,313","1,024",762
Operating Profit,79,89,85,54,59,79,20,4,-10,37,-3
OPM %,6%,6%,6%,4%,4%,4%,1%,0%,-1%,3%,-0%
Other Income +,9,7,7,5,5,2,-2,2,2,10,22
Interest,18,21,24,29,18,20,36,39,38,34,30
Depreciation,25,23,27,21,22,24,23,17,16,15,12
Profit before tax,45,52,42,9,25,37,-41,-49,-62,-2,-23
Tax %,41%,30%,15%,13%,19%,22%,6%,37%,0%,-137%,16%
Net Profit,27,36,36,8,20,29,-39,-31,-62,-5,-19
EPS in Rs,,,,,1.02,1.48,-1.97,-1.59,-3.17,-0.23,-0.99
