,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,166,177,191,207,158,639,934,769,752,"1,140","1,318"
Expenses +,137,143,154,175,136,509,759,637,623,931,"1,079"
Operating Profit,29,34,37,32,23,130,175,132,129,209,239
OPM %,18%,19%,19%,15%,14%,20%,19%,17%,17%,18%,18%
Other Income +,4,6,6,8,7,4,8,19,20,16,15
Interest,3,4,4,9,6,13,32,38,32,28,28
Depreciation,14,17,18,16,12,46,58,60,65,68,71
Profit before tax,16,19,20,14,12,74,93,53,52,129,155
Tax %,27%,25%,29%,28%,12%,18%,29%,21%,11%,29%,
Net Profit,12,14,14,10,10,61,66,42,46,91,102
EPS in Rs,4.89,5.75,5.96,4.22,4.32,25.15,27.13,17.36,19.08,37.70,42.31
