,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,8,12,17,25,25,25,25
Reserves,15,26,46,59,157,165,184,213,218
Borrowings +,43,39,41,38,23,17,30,52,52
Other Liabilities +,21,21,19,54,25,27,33,45,40
Total Liabilities,87,95,114,163,221,234,272,335,335
Fixed Assets +,34,37,37,37,44,90,112,147,152
CWIP,2,1,1,0,25,17,29,4,7
Investments,1,7,16,20,21,19,22,29,29
Other Assets +,50,51,61,106,131,107,109,155,146
Total Assets,87,95,114,163,221,234,272,335,335
