,Mar 2008,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,10,113,113,113,113,113,113,113,113,113,113
Reserves,-0,-2,-36,-30,-69,-94,-79,-85,-46,-77,-36,108,49
Borrowings +,81,71,114,42,53,60,59,100,20,3,18,74,84
Other Liabilities +,18,37,57,42,35,43,67,356,213,163,187,43,66
Total Liabilities,106,114,145,166,133,122,161,485,300,202,282,339,312
Fixed Assets +,7,49,74,75,54,42,35,12,5,6,4,2,2
CWIP,0,4,0,0,0,0,1,0,0,0,0,0,0
Investments,3,4,4,8,4,0,5,88,30,3,38,181,123
Other Assets +,96,58,68,83,75,80,120,384,266,193,241,155,188
Total Assets,106,114,145,166,133,122,161,485,300,202,282,339,312
