,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,210,210,210,210,210,210,90,90,90,90,90,96,102
Reserves,134,111,90,88,78,91,106,136,163,194,291,457,635
Borrowings +,133,121,111,89,81,68,169,134,132,133,17,19,23
Other Liabilities +,224,225,215,223,240,276,173,226,230,246,460,499,293
Total Liabilities,581,547,506,490,489,524,538,586,615,663,858,"1,070","1,052"
Fixed Assets +,496,452,409,368,322,297,272,264,236,216,225,252,254
CWIP,0,0,0,0,0,0,0,0,0,0,2,14,18
Investments,4,4,4,0,0,0,0,0,0,1,1,0,0
Other Assets +,81,91,93,121,167,227,266,321,379,446,631,804,780
Total Assets,581,547,506,490,489,524,538,586,615,663,858,"1,070","1,052"
