,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,"1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753"
Reserves,"5,337","3,478","4,281","7,747","8,477","8,193","4,607","2,495","5,457","6,395"
Borrowings +,"9,840","14,702","14,395","15,477","14,921","15,618","18,482","24,062","21,310","18,437"
Other Liabilities +,"22,698","21,294","23,650","7,873","6,807","7,203","5,734","6,425","11,561","11,899"
Total Liabilities,"39,628","41,226","44,080","32,849","31,958","32,766","30,576","34,735","40,081","38,484"
Fixed Assets +,"5,995","21,641","21,747","20,618","20,217","20,002","20,431","19,596","21,384","20,846"
CWIP,"8,552","1,389",198,220,682,995,"1,746","2,343",170,371
Investments,0,0,38,42,31,29,29,25,29,48
Other Assets +,"25,081","18,197","22,097","11,969","11,028","11,740","8,369","12,770","18,499","17,218"
Total Assets,"39,628","41,226","44,080","32,849","31,958","32,766","30,576","34,735","40,081","38,484"
