,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"71,552","57,398","39,730","43,767","49,055","63,446","50,230","31,959","69,727","102,122"
Expenses +,"70,538","59,565","38,021","38,775","44,526","60,816","53,368","31,252","64,783","94,745"
Operating Profit,"1,015","-2,167","1,709","4,992","4,529","2,630","-3,137",708,"4,944","7,377"
OPM %,1%,-4%,4%,11%,9%,4%,-6%,2%,7%,7%
Other Income +,432,841,674,"2,015",223,130,70,90,67,129
Interest,323,448,"1,083",969,915,"1,062","1,251",558,"1,212","1,248"
Depreciation,707,522,"1,013",984,966,"1,048","1,086","1,158","1,088","1,103"
Profit before tax,418,"-2,295",287,"5,054","2,871",651,"-5,404",-919,"2,711","5,157"
Tax %,-45%,19%,-77%,35%,38%,46%,25%,17%,-9%,
Net Profit,606,"-1,853",506,"3,293","1,774",351,"-4,043",-765,"2,958","4,535"
EPS in Rs,3.46,-10.29,4.70,19.81,11.37,1.94,-19.14,-4.36,16.88,25.88
