,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,992","5,485","3,448","2,532","3,978","3,376","3,921","1,940","1,705","1,575","2,692","4,916"
Expenses +,"4,520","4,967","3,192","2,474","3,705","3,155","3,593","2,070","1,815","1,676","2,882","5,088"
Operating Profit,472,517,256,58,273,221,328,-130,-110,-101,-190,-172
OPM %,9%,9%,7%,2%,7%,7%,8%,-7%,-6%,-6%,-7%,-4%
Other Income +,31,35,-174,-115,26,35,43,5,29,-122,-78,27
Interest,153,264,282,236,329,325,308,308,329,348,370,446
Depreciation,117,123,126,94,93,89,89,89,82,82,82,82
Profit before tax,233,165,-326,-387,-123,-158,-27,-522,-492,-653,-720,-673
Tax %,41%,49%,28%,-1%,27%,23%,19%,7%,7%,6%,4%,
Net Profit,138,84,-236,-392,-89,-122,-22,-486,-459,-615,-689,-640
EPS in Rs,2.31,1.40,-3.94,-6.55,-1.49,-2.04,-0.36,-8.13,-7.67,-10.29,-11.52,-10.70
