,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,"1,289","1,289",966,966,933,933,918,918,918
Reserves,"11,509","11,906","9,239","9,537","9,552","9,054","9,761","11,634","12,064"
Borrowings +,0,0,51,45,67,12,102,77,125
Other Liabilities +,"3,380","3,515","4,245","4,064","4,596","4,549","3,928","4,646","4,493"
Total Liabilities,"16,178","16,710","14,501","14,613","15,147","14,548","14,709","17,276","17,601"
Fixed Assets +,"6,645","6,596","7,144","7,139","7,286","7,485","7,660","7,343","7,647"
CWIP,550,688,566,915,883,"1,427","1,575","2,235","2,319"
Investments,950,"1,011","1,260",710,257,331,560,375,809
Other Assets +,"8,032","8,416","5,531","5,849","6,722","5,306","4,913","7,322","6,826"
Total Assets,"16,178","16,710","14,501","14,613","15,147","14,548","14,709","17,276","17,601"
