,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,322,392,472,567,732,748,888,988,"1,151","1,312","1,128","1,589","2,046"
Expenses +,244,282,351,471,711,656,896,769,"1,142","1,662","1,054","1,143","1,782"
Operating Profit,78,110,121,97,21,91,-9,219,9,-350,74,446,263
OPM %,24%,28%,26%,17%,3%,12%,-1%,22%,1%,-27%,7%,28%,13%
Other Income +,38,59,24,48,89,111,50,401,737,286,"1,584","13,810","5,952"
Interest,2,2,3,3,4,3,4,5,7,14,11,11,7
Depreciation,8,8,12,21,47,24,33,30,22,48,45,45,55
Profit before tax,106,158,130,120,60,175,5,585,716,-126,"1,602","14,200","6,154"
Tax %,38%,34%,41%,49%,124%,33%,935%,14%,17%,-95%,12%,9%,
Net Profit,65,106,76,60,-14,118,-43,501,592,-246,"1,418","12,882","5,739"
EPS in Rs,5.78,9.46,8.39,8.21,2.00,11.21,-1.95,42.05,49.43,-19.39,109.98,990.77,428.02
