,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,329,468,494,546,578,636,825,974,"1,063","1,402","1,624","1,834","1,935"
Borrowings +,49,95,84,58,61,82,19,13,4,1,25,121,607
Other Liabilities +,133,192,138,166,203,228,324,259,231,215,239,420,500
Total Liabilities,520,764,726,779,852,955,"1,177","1,256","1,307","1,629","1,898","2,385","3,052"
Fixed Assets +,203,299,291,288,274,375,561,428,430,529,540,556,"1,063"
CWIP,32,5,9,6,60,20,17,20,39,39,95,742,570
Investments,48,159,201,230,171,170,239,428,427,195,99,118,281
Other Assets +,238,301,225,255,346,390,360,380,410,866,"1,163",969,"1,138"
Total Assets,520,764,726,779,852,955,"1,177","1,256","1,307","1,629","1,898","2,385","3,052"
