,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,431,725,550,486,592,680,742,913,996,"1,062","1,179","1,453","1,605"
Expenses +,310,466,467,420,519,561,582,693,777,794,870,"1,098","1,219"
Operating Profit,120,259,83,66,72,118,159,220,219,268,309,356,386
OPM %,28%,36%,15%,14%,12%,17%,21%,24%,22%,25%,26%,24%,24%
Other Income +,3,68,14,31,29,23,55,88,34,29,94,38,42
Interest,4,4,6,6,3,4,3,1,1,2,2,2,5
Depreciation,14,19,21,22,20,22,30,40,28,37,44,48,54
Profit before tax,106,304,70,69,78,116,182,266,224,258,358,344,368
Tax %,33%,29%,37%,21%,26%,28%,25%,32%,34%,-56%,31%,24%,
Net Profit,71,218,44,68,58,84,137,180,149,409,258,263,276
EPS in Rs,14.62,44.59,8.89,13.47,11.18,17.08,27.88,36.43,30.15,82.57,52.02,53.09,55.74
