,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Sep 2017
Share Capital +,13,17,21,112,143,143,143
Reserves,195,292,413,632,"1,221","1,306","1,352"
Borrowings +,417,444,437,555,503,505,413
Other Liabilities +,34,46,49,62,130,135,204
Total Liabilities,660,797,917,"1,359","1,996","2,089","2,112"
Fixed Assets +,549,620,656,"1,073","1,171","1,194","1,235"
CWIP,1,0,44,27,275,517,585
Investments,0,20,20,5,46,46,0
Other Assets +,111,156,198,253,505,332,292
Total Assets,660,797,917,"1,359","1,996","2,089","2,112"
