,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,48,48,48,48,48,48,47,47,46,46,46,45,45
Reserves,275,314,371,431,496,535,647,705,745,817,885,958,"1,040"
Borrowings +,66,145,169,234,144,103,159,244,337,278,74,135,58
Other Liabilities +,55,73,122,132,136,83,167,158,190,149,176,185,243
Total Liabilities,444,579,709,844,823,769,"1,020","1,154","1,318","1,290","1,181","1,324","1,385"
Fixed Assets +,119,161,174,187,170,181,252,255,252,298,261,249,244
CWIP,10,4,6,5,4,1,3,4,17,6,22,4,4
Investments,0,1,31,47,49,32,24,46,66,88,142,222,236
Other Assets +,316,414,498,604,599,556,740,849,984,898,755,850,901
Total Assets,444,579,709,844,823,769,"1,020","1,154","1,318","1,290","1,181","1,324","1,385"
