,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,425,483,527,459,571,566,490,426,399,373,358,396,434
Expenses +,494,535,520,524,553,600,532,465,358,322,283,296,317
Operating Profit,-69,-52,7,-65,18,-34,-42,-40,41,52,74,100,117
OPM %,-16%,-11%,1%,-14%,3%,-6%,-9%,-9%,10%,14%,21%,25%,27%
Other Income +,-49,16,53,36,7,11,4,2,19,20,49,25,17
Interest,24,22,23,20,21,21,22,21,28,25,23,10,4
Depreciation,31,28,28,27,25,25,18,15,12,11,10,19,19
Profit before tax,-174,-86,9,-76,-21,-68,-78,-74,21,36,90,96,111
Tax %,-3%,-10%,93%,-11%,-119%,-11%,-10%,-15%,45%,21%,17%,12%,
Net Profit,-178,-94,1,-85,-44,-74,-86,-84,11,28,75,85,95
EPS in Rs,-26.97,-13.55,0.30,-12.59,-6.83,-8.50,-12.47,-12.41,1.59,3.76,11.00,12.38,13.50
