,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,060","1,312","1,622","1,634","1,638","1,674","1,635","1,874","2,779","2,363","1,541","1,665","1,711"
Expenses +,831,"1,062","1,332","1,345","1,371","1,436","1,411","1,638","2,514","2,143","1,432","1,507","1,581"
Operating Profit,229,250,290,289,267,239,224,236,264,220,109,159,130
OPM %,22%,19%,18%,18%,16%,14%,14%,13%,10%,9%,7%,10%,8%
Other Income +,12,12,16,12,20,6,23,6,6,4,-22,11,12
Interest,74,115,115,138,126,123,117,115,148,126,112,79,77
Depreciation,46,61,76,84,77,57,62,64,63,61,60,57,58
Profit before tax,120,85,115,78,85,64,67,63,59,37,-85,34,7
Tax %,13%,14%,25%,21%,22%,15%,18%,17%,19%,15%,14%,26%,
Net Profit,104,73,86,62,66,54,55,52,48,32,-73,25,3
EPS in Rs,4.65,3.26,3.82,2.77,2.95,2.42,2.47,2.33,2.12,1.42,-3.27,1.12,0.12
