,Mar 2006,Mar 2007,Mar 2008,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,TTM
Sales +,74,103,135,195,304,465,487,161,52,49,50
Expenses +,55,75,104,151,242,366,393,408,103,107,125
Operating Profit,19,28,32,44,62,99,94,-247,-51,-57,-75
OPM %,26%,27%,23%,22%,20%,21%,19%,-153%,-98%,-116%,-150%
Other Income +,0,0,2,1,4,4,4,9,2,1,13
Interest,3,4,6,9,13,22,28,31,6,1,0
Depreciation,8,13,14,18,21,31,33,33,27,9,8
Profit before tax,9,11,14,18,32,50,37,-302,-82,-67,-71
Tax %,52%,33%,33%,35%,34%,32%,32%,7%,11%,4%,
Net Profit,4,7,9,12,21,34,25,-282,-73,-64,-73
EPS in Rs,2.65,4.61,5.66,6.23,10.53,17.02,12.50,-144.14,-36.49,-31.92,-34.56
