,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,63,63,62,68,68,69,69,70,70
Reserves,148,166,188,337,428,480,596,742,767
Borrowings +,45,59,71,66,68,111,20,28,46
Other Liabilities +,78,111,106,138,177,211,235,264,266
Total Liabilities,324,389,427,609,742,871,921,"1,103","1,148"
Fixed Assets +,23,57,62,68,69,130,205,230,244
CWIP,5,6,11,17,83,91,0,0,5
Investments,60,45,49,50,52,76,83,92,95
Other Assets +,236,281,306,474,539,574,632,781,804
Total Assets,324,389,427,609,742,871,921,"1,103","1,148"
