,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,52,52,58,58,65,65,67,67,67,67,67,67,67
Reserves,66,54,59,58,57,-28,-39,-44,-53,-80,-102,-118,-126
Borrowings +,42,42,31,24,10,79,66,67,55,112,136,158,158
Other Liabilities +,32,28,28,26,29,56,67,69,78,19,1,-6,-7
Total Liabilities,191,177,177,165,162,172,162,159,147,117,102,101,92
Fixed Assets +,112,104,103,91,76,135,126,115,105,88,79,70,66
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,1,1,1,0,5,1
Other Assets +,79,73,74,75,85,37,36,43,42,29,23,26,25
Total Assets,191,177,177,165,162,172,162,159,147,117,102,101,92
