,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,478,658,839,"1,095","1,364","1,614","1,878","2,281","2,861","3,128","2,583","3,701","4,076"
Expenses +,421,574,769,989,"1,236","1,434","1,642","2,064","2,566","2,694","2,394","3,038","3,295"
Operating Profit,57,84,70,106,128,180,236,217,295,434,189,664,781
OPM %,12%,13%,8%,10%,9%,11%,13%,10%,10%,14%,7%,18%,19%
Other Income +,3,3,28,39,6,-19,7,18,16,7,21,26,56
Interest,6,11,19,31,45,33,28,55,81,94,82,76,63
Depreciation,32,37,46,57,68,76,80,100,137,186,184,183,189
Profit before tax,21,39,34,57,21,51,135,80,93,161,-56,430,585
Tax %,34%,33%,29%,38%,71%,59%,39%,36%,37%,26%,75%,20%,
Net Profit,14,26,24,29,-19,21,83,51,59,119,-14,342,446
EPS in Rs,419.18,791.33,762.14,974.49,-0.84,1.04,4.06,2.51,2.90,5.82,-0.70,16.73,21.81
