,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0.08,39.39,39.39,39.39,39.39,39.39,39.39
Reserves,143.39,76.40,79.27,81.30,78.95,78.84,78.95
Borrowings +,67.13,57.42,76.63,22.63,9.60,0.00,0.00
Other Liabilities +,4.42,16.13,17.08,3.02,20.65,5.67,12.45
Total Liabilities,215.02,189.34,212.37,146.34,148.59,123.90,130.79
Fixed Assets +,0.00,0.00,13.09,7.75,8.47,6.92,6.43
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,24.50,26.07,29.00,22.15,22.07,6.61,6.60
Other Assets +,190.52,163.27,170.28,116.44,118.05,110.37,117.76
Total Assets,215.02,189.34,212.37,146.34,148.59,123.90,130.79
