,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,28.56,19.78,9.48,87.65,45.12,5.33,2.89
Expenses +,18.70,20.15,8.49,85.21,43.24,8.40,5.58
Operating Profit,9.86,-0.37,0.99,2.44,1.88,-3.07,-2.69
OPM %,34.52%,-1.87%,10.44%,2.78%,4.17%,-57.60%,-93.08%
Other Income +,10.46,9.00,7.67,3.33,3.34,4.14,3.19
Interest,8.85,6.38,5.41,6.23,4.27,0.27,0.04
Depreciation,0.00,0.00,0.15,0.23,0.16,0.15,0.14
Profit before tax,11.47,2.25,3.10,-0.69,0.79,0.65,0.32
Tax %,36.44%,37.78%,6.45%,398.55%,401.27%,118.46%,
Net Profit,7.29,1.40,2.89,2.06,-2.38,-0.12,-0.34
EPS in Rs,,,0.07,0.05,-0.06,-0.00,0.00
