,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,643,939,854,831,885,832,716,610,595,460,327,411,406
Expenses +,566,854,888,845,883,813,692,606,596,506,376,450,446
Operating Profit,77,85,-34,-14,2,19,24,4,-2,-46,-49,-39,-40
OPM %,12%,9%,-4%,-2%,0%,2%,3%,1%,-0%,-10%,-15%,-10%,-10%
Other Income +,1,-34,-0,2,2,-1,2,253,2,28,-3,7,-4
Interest,28,75,154,150,50,12,8,14,22,23,54,64,69
Depreciation,23,33,42,47,70,63,50,81,39,31,31,30,30
Profit before tax,27,-57,-231,-209,-116,-57,-32,162,-61,-71,-136,-126,-142
Tax %,8%,-0%,-2%,-1%,-2%,-2%,-4%,-14%,2%,-2%,-3%,0%,
Net Profit,25,-57,-236,-211,-118,-58,-34,185,-60,-72,-140,-126,-142
EPS in Rs,7.71,-17.44,-72.28,-38.59,-21.82,-11.00,-6.10,26.29,-7.47,-10.05,-19.05,-17.55,-19.82
