,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,453,483,488,596,719,715,742,964,"1,043",846,925,"1,571","1,750"
Expenses +,401,446,467,534,605,575,582,695,750,668,793,"1,284","1,422"
Operating Profit,52,37,21,62,114,140,160,269,293,178,132,288,327
OPM %,12%,8%,4%,10%,16%,20%,22%,28%,28%,21%,14%,18%,19%
Other Income +,6,22,36,9,3,3,9,11,10,9,14,2,3
Interest,0,0,4,17,17,9,2,1,1,1,1,1,1
Depreciation,9,10,9,19,14,15,20,24,24,34,37,48,55
Profit before tax,49,48,44,35,86,119,147,255,278,152,107,241,274
Tax %,31%,28%,4%,32%,34%,34%,34%,33%,33%,14%,17%,27%,
Net Profit,34,35,42,24,57,78,97,170,185,131,88,176,201
EPS in Rs,2.08,2.15,2.62,1.48,3.55,4.87,5.94,10.33,11.17,7.89,5.32,10.57,12.06
